 category_name , category_name_ar ,,customs,tax_aqaba,tax_amm,margin_amm,margin_aqaba,special_tax,us_tax,cap_aqaba,cap_amm, min_side_length 
 Electronic calculators ,? ???? ????? ???????????? ???????? ??? ????? ??????? ???? ????? ?????? ??????????," {""category_name"" : ""Electronic calculators"",""category_name_ar"" : ""? ???? ????? ???????????? ???????? ??? ????? ??????? ???? ????? ?????? ??????????""}, ",0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
" Exercise equipment for general physical exercise, gymnastics or athletics ",????? ?????? ??????? ??????? ???????? ?????? ?????," {""category_name"" : ""Exercise equipment for general physical exercise, gymnastics or athletics"",""category_name_ar"" : ""????? ?????? ??????? ??????? ???????? ?????? ?????""}, ",0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 FAN , ????? ," {""category_name"" : ""FAN"",""category_name_ar"" : ""?????""}, ",0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
" Fats and oils and their fractions, of fish, other than liver oils ","? ???? ????? ????????? ? ?? ????? ??? ??? ?????"," {""category_name"" : ""Fats and oils and their fractions, of fish, other than liver oils"",""category_name_ar"" : ""? ???? ????? ????????? ? ?? ????? ??? ??? ?????""}, ",0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Fertilizers , ????? ," {""category_name"" : ""Fertilizers"",""category_name_ar"" : ""?????""}, ",0.15,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
 Flash Drive/ SD Card , ???? ???? / ????? ???????  ," {""category_name"" : ""Flash Drive/ SD Card"",""category_name_ar"" : ""???? ???? / ????? ??????? ""}, ",0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Food/Chocolate/Candy , ?????? / ?????????? / ????? ," {""category_name"" : ""Food/Chocolate/Candy"",""category_name_ar"" : ""?????? / ?????????? / ?????""}, ",0.25,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
 Food/Chocolate/Candy US Made , ?????? / ?????????? / ????? ???????? ??????? ??? ," {""category_name"" : ""Food/Chocolate/Candy US Made"",""category_name_ar"" : ""?????? / ?????????? / ????? ???????? ??????? ???""}, ",0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Game Pad , ???? ????? ," {""category_name"" : ""Game Pad"",""category_name_ar"" : ""???? ?????""}, ",0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 Game PC or Console , ???? / ??? ???? ?????? ????? PC  ," {""category_name"" : ""Game PC or Console"",""category_name_ar"" : ""???? / ??? ???? ?????? ????? PC ""}, ",0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 Glass Wear , ??? ?????? ," {""category_name"" : ""Glass Wear"",""category_name_ar"" : ""??? ??????""}, ",0.25,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
 Gloves (fabric) , ?????? ?? ???? ," {""category_name"" : ""Gloves (fabric)"",""category_name_ar"" : ""?????? ?? ????""}, ",0.25,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
 Graphics Card ,? ????? ?????? ?????? ???????? ??????? ?? ????????," {""category_name"" : ""Graphics Card"",""category_name_ar"" : ""? ????? ?????? ?????? ???????? ??????? ?? ????????""}, ",0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Hair Preparations (Shampoo etc) ,???????? ??????? ?????? .," {""category_name"" : ""Hair Preparations (Shampoo etc)"",""category_name_ar"" : ""???????? ??????? ?????? .""}, ",0.12,0.00,0.16,0.12,0.12,0.00,0.00,999.00,999.00, 1.00 
 Hair-removing appliances ,? ????? ????? ?????," {""category_name"" : ""Hair-removing appliances"",""category_name_ar"" : ""? ????? ????? ?????""}, ",0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 HardDrives External , ????? ???? ?????? ," {""category_name"" : ""HardDrives External"",""category_name_ar"" : ""????? ???? ??????""}, ",0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 HardDrives Internal , ????? ???? ?????? ," {""category_name"" : ""HardDrives Internal"",""category_name_ar"" : ""????? ???? ??????""}, ",0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Hats , ????? ," {""category_name"" : ""Hats"",""category_name_ar"" : ""?????""}, ",0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
" Headphones & earphones, w or w/o microphone ","?????????? ??? ??????????? ??? ?????????? ? ??? ??????? ????? ?????? ?????"," {""category_name"" : ""Headphones & earphones, w or w/o microphone"",""category_name_ar"" : ""?????????? ??? ??????????? ??? ?????????? ? ??? ??????? ????? ?????? ?????""}, ",0.25,0.07,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
 Headset , ????? ??? ," {""category_name"" : ""Headset"",""category_name_ar"" : ""????? ???""}, ",0.35,0.07,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 Health and Personal Care , ?????? ??? ," {""category_name"" : ""Health and Personal Care"",""category_name_ar"" : ""?????? ???""}, ",0.12,0.00,0.16,0.16,0.16,0.05,0.00,999.00,999.00, 1.00 
 Health and Personal Care (Liquids) , ?????? ??? - ???? ," {""category_name"" : ""Health and Personal Care (Liquids)"",""category_name_ar"" : ""?????? ??? - ????""}, ",0.12,0.00,0.16,0.16,0.16,0.05,0.00,999.00,999.00, 1.00 
 Helmet Motor Cycle , ???? ????? ?????  ," {""category_name"" : ""Helmet Motor Cycle"",""category_name_ar"" : ""???? ????? ????? ""}, ",0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 Helmet Sports Leisure , ???? ??????? ??????  ," {""category_name"" : ""Helmet Sports Leisure"",""category_name_ar"" : ""???? ??????? ?????? ""}, ",0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 Jewelry - Not Real , ??????? ??????? ," {""category_name"" : ""Jewelry - Not Real"",""category_name_ar"" : ""??????? ???????""}, ",0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 Joystick , ??? ??????  ," {""category_name"" : ""Joystick"",""category_name_ar"" : ""??? ?????? ""}, ",0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 3.00 
 Keyboard/Mouse , ???? ???????? / ??????  ," {""category_name"" : ""Keyboard/Mouse"",""category_name_ar"" : ""???? ???????? / ?????? ""}, ",0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 4.00 
 kitchenware and Tableware ,  ????? ????? ?????  ," {""category_name"" : ""kitchenware and Tableware"",""category_name_ar"" : "" ????? ????? ????? ""}, ",0.12,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
 Knee pads ,?????? ?????," {""category_name"" : ""Knee pads"",""category_name_ar"" : ""?????? ?????""}, ",0.15,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
 leather clothes , ????? ?????  ," {""category_name"" : ""leather clothes"",""category_name_ar"" : ""????? ????? ""}, ",0.35,0.07,0.16,0.08,0.09,0.08,0.00,999.00,1.37, 1.00 
 Lighting or visual signalling equipment ,? ????? ????? ?? ????? ????? ," {""category_name"" : ""Lighting or visual signalling equipment"",""category_name_ar"" : ""? ????? ????? ?? ????? ????? ""}, ",0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
" Machine-tools for working stone, ceramics, concrete, asbestos-cement , glass ",??? ???? ???? ????? ?? ????? ?? ???????? ?? ???? ?????? ???????," {""category_name"" : ""Machine-tools for working stone, ceramics, concrete, asbestos-cement , glass"",""category_name_ar"" : ""??? ???? ???? ????? ?? ????? ?? ???????? ?? ???? ?????? ???????""}, ",0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Magazines , ?????  ," {""category_name"" : ""Magazines"",""category_name_ar"" : ""????? ""}, ",0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
