 category_name , category_name_ar ,customs,tax_aqaba,tax_amm,margin_amm,margin_aqaba,special_tax,us_tax,cap_aqaba,cap_amm, min_side_length 
 Glass Wear , ??? ?????? ,0.25,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
 Gloves (fabric) , ?????? ?? ???? ,0.25,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
 Graphics Card ,? ????? ?????? ?????? ???????? ??????? ?? ????????,0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Hair Preparations (Shampoo etc) ,???????? ??????? ?????? .,0.12,0.00,0.16,0.12,0.12,0.00,0.00,999.00,999.00, 1.00 
 Hair-removing appliances ,? ????? ????? ?????,0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 HardDrives External , ????? ???? ?????? ,0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 HardDrives Internal , ????? ???? ?????? ,0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Hats , ????? ,0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
" Headphones & earphones, w or w/o microphone ","?????????? ??? ??????????? ??? ?????????? ? ??? ??????? ????? ?????? ?????",0.25,0.07,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
 Headset , ????? ??? ,0.35,0.07,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 Health and Personal Care , ?????? ??? ,0.12,0.00,0.16,0.16,0.16,0.05,0.00,999.00,999.00, 1.00 
 Health and Personal Care (Liquids) , ?????? ??? - ???? ,0.12,0.00,0.16,0.16,0.16,0.05,0.00,999.00,999.00, 1.00 
 Helmet Motor Cycle , ???? ????? ?????  ,0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 Helmet Sports Leisure , ???? ??????? ??????  ,0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 Jewelry - Not Real , ??????? ??????? ,0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 Joystick , ??? ??????  ,0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 3.00 
 Keyboard/Mouse , ???? ???????? / ??????  ,0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 4.00 
 kitchenware and Tableware ,  ????? ????? ?????  ,0.12,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
 Knee pads ,?????? ?????,0.15,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
 leather clothes , ????? ?????  ,0.35,0.07,0.16,0.08,0.09,0.08,0.00,999.00,1.37, 1.00 
 Lighting or visual signalling equipment ,? ????? ????? ?? ????? ????? ,0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
" Machine-tools for working stone, ceramics, concrete, asbestos-cement , glass ",??? ???? ???? ????? ?? ????? ?? ???????? ?? ???? ?????? ??????? (?????????) ???????? ?? ???? ?????? ???????? ???????? ?? ???? ?????? ??? ??????,0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Magazines , ?????  ,0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Medical Apparatus 9022 , ????? ????  ,0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Memory , ?????  ,0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 microphone and one or more loudspeakers ,"???? ????? ?? ????? ??? "" ??????? "" ????? ?? ???? ?? ?????? ????? ",0.35,0.07,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 5.00 
 Microscope , ????  ,0.15,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
 Mobile Accessory , ?????? ?????? ??????  ,0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 Mobile Phone , ?????? ???????  ,0.00,0.07,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Monitor  , ???? ???????  ,0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 7.00 
 Motherboard ,? ????? ?????? ?????? ???????? ??????? ?? ????????,0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 3.00 
 Mouse Pad , ???? ???  ,0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 Mouse/Keyboard , ?????? / ???? ????????  ,0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 3.00 
 Musical Instruments , ????? ????????  ,0.35,0.00,0.16,0.08,0.09,0.05,0.00,999.00,999.00, 1.00 
 Neck Tie , ????? ??? ,0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 Network Router/Adapter ,????? ????????? ?? ???? ????? ?? ??????? ,0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Notebook , ?????? ,0.00,0.07,0.16,0.10,0.10,0.00,0.09,999.00,999.00, 4.00 
 Office Equipment  ,  ????? ????    ,0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 Office or school supplies , ??????? ,0.12,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
 Pasta (Other - not stuffed) , ??????? ??? ????? ,0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
" Pasta (Stuffed), whether or not cooked or otherwise prepared ", ??????? ????? ,0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 PCs , ????? ?????????  ,0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Perfume , ??? ,0.12,0.07,0.16,0.16,0.12,0.05,0.00,999.00,999.00, 1.00 
 Perfume - US Made , ??? ,0.00,0.07,0.16,0.10,0.10,0.05,0.00,999.00,999.00, 1.00 
 Playstation , ???? ?????  ,0.35,0.07,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
" Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins ","???? ???????? ????? ?????? ??? ???????? ?????????? ? ???????? ??????? ? ???? ???????",0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Power Suppy , ???? ?????? ,0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Printer , ????? ,0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Projectors , ???? ???? ,0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
" Protein concentrates and textured protein substances, other ",?????? ?????? ????? ???????? ,0.15,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
 Rangefinders ,? ?????? ???????,0.15,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
 Real Jewelry , ??????? ??? ???? ?????? ,0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Scanner , ???? ???? ,0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Seeds (for planting) , ???? ??????? ,0.15,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
 Shampoos , ????? ,0.12,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
 Shoes , ?????  ,0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,1.37, 1.00 
 Software , ??????? ,0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Sound recording or reproducing apparatus .  ,????? ????? ?? ????? ?????,0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 Spare Parts , ??? ???? ,0.35,0.07,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 Speaker , ?????? ,0.35,0.07,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 5.00 
 Sporting Goods  , ????? ????????  ,0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 Sunglasses ,? ?????? ?????,0.35,0.07,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 Tablet , ??? ???? ,0.00,0.07,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Tools , ??? ?????? ,0.15,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
 ToothBrush , ????? ???????  ,0.12,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
 Toys , ????? ,0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
" Trays, dishes, plates, cups and the like ",? ????? ?????? ?????? ??? ???????,0.25,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
" T-shirts, singlets and other vests, knitted or crocheted. ","????? ?? ??? ""?? ????"" ?????? ????? ?????? ?? ?????? ??? ??????? ? ?? ?????? ?? ??????",0.25,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
 TV  , ???? ?????  ,0.25,0.07,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
 US Made Cosmetics , ?????? ????????? ?????|????? ????? ,0.00,0.07,0.16,0.16,0.16,0.05,0.00,999.00,999.00, 1.00 
 US Made Products , ?????? ?????????  ,0.00,0.07,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Vitamins , ??????? ,0.15,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
 Watch (Mechanical display only) , ???? ??? ????????? ,0.15,0.07,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
 Watch/Sports watches/wearable gear , ???? / ????? ??????? / ???? ???????? ??????? ,0.35,0.07,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
